,0
1593,6021614
1594,7389852
1595,7997276
1596,9303590
1597,6234470
1598,8325210
1599,8943375
1600,5976982
1601,5572732
1602,7998639
1603,7417754
1604,5646907
1605,7725928
1606,8771525
1607,9381875
1608,7040962
1609,9653083
1610,6434373
1611,9194533
1612,9469621
1613,6061208
1614,9613362
