,Unnamed: 0.1,user_id,num_revs,nationality,group,age
3475,5154,9793190,6,Argentina,All Female Group,25-30
3476,5155,7777727,1,Switzerland,,not specified
3477,5156,7474761,1,Canada,,not specified
3478,5157,6415457,1,Wales,Male,25-30
3479,5158,7523938,2,Uruguay,,not specified
3480,5162,8757961,1,USA,,not specified
3481,5163,6826352,3,Brazil,Couple,25-30
3482,5165,6946406,1,Japan,,not specified
3483,5166,8597408,1,USA,Male,25-30
3484,5168,9225385,1,USA,Male,25-30
3485,5169,6975193,1,Finland,,not specified
3486,5170,7934308,1,China,,not specified
3487,5171,7013108,1,UK,Female,18-24
3488,5172,6051813,1,Germany,Mixed Group,18-24
3489,5173,9670293,1,Australia,,not specified
3490,5174,7241643,1,France,,not specified
3491,5175,9548125,1,France,,not specified
3492,5176,6458843,2,France,,not specified
3493,5178,8100941,2,USA,,not specified
3494,5179,9374141,2,Chile,Female,25-30
3495,5181,8449252,2,Spain,Couple,18-24
3496,5183,5926400,1,England,,not specified
3497,5186,7744096,10,Azerbaijan,Male,18-24
3498,5188,5229159,1,Germany,,not specified
3499,5189,7991478,1,Brazil,Male,31-40
3500,5190,6317600,9,Brazil,Male,25-30
3501,5191,5392137,8,Canada,,not specified
3502,5192,5410002,1,Italy,,not specified
3503,5193,8374134,2,Hong Kong,All Female Group,18-24
3504,5194,8641956,2,Australia,Female,41+
3505,5195,9101894,1,USA,,not specified
3506,5196,5953692,6,China,,not specified
3507,5197,6838127,2,USA,,not specified
3508,5198,9604765,2,Scotland,Male,41+
3509,5201,9756962,1,England,,not specified
3510,5202,9835981,2,Germany,Male,18-24
3511,5203,9222126,1,Japan,Female,25-30
3512,5204,6612428,2,England,,not specified
3513,5205,9293702,1,England,,not specified
3514,5206,9779598,1,USA,Mixed Group,18-24
3515,5207,7413349,2,Scotland,Male,25-30
3516,5209,7834152,1,China,,not specified
3517,5211,8499830,1,Germany,,not specified
3518,5212,5761828,5,Australia,,not specified
3519,5213,7355569,1,Australia,,not specified
3520,5214,7770100,1,Belgium,,not specified
3521,5215,6345733,1,USA,,not specified
3522,5216,7665205,1,Canada,,not specified
3523,5217,9099276,1,Poland,,not specified
3524,5218,9536937,1,France,Male,18-24
3525,5220,5699448,1,Poland,,not specified
3526,5221,9851877,3,England,Male,18-24
3527,5222,5050668,2,USA,,not specified
3528,5223,9843878,6,Australia,,not specified
3529,5224,8373331,3,Malaysia,Female,31-40
3530,5226,7299735,1,Lithuania,,not specified
3531,5227,5242194,11,China,,not specified
3532,5228,6667020,1,USA,,not specified
3533,5229,9004772,1,Brazil,Male,41+
3534,5230,9530982,2,Brazil,Female,18-24
3535,5231,6139127,4,Japan,Female,25-30
3536,5232,8926982,2,England,Male,41+
3537,5234,6701446,1,Italy,,not specified
3538,5235,5383483,2,Turkey,,not specified
3539,5237,5496562,1,Mexico,,not specified
3540,5238,6609430,1,Croatia,Male,18-24
3541,5240,8635642,1,England,,not specified
3542,5241,5015389,1,USA,,not specified
3543,5242,7885816,7,Brazil,Female,31-40
3544,5243,6055703,2,Scotland,,not specified
3545,5245,6786837,2,Poland,Male,31-40
3546,5246,5000442,2,USA,,not specified
3547,5247,6713737,2,Netherlands,Male,31-40
3548,5248,6633442,1,Netherlands,,not specified
3549,5249,5104729,1,Israel,,not specified
3550,5250,8977661,8,Germany,Male,25-30
3551,5251,6775978,2,Australia,,not specified
3552,5253,6855792,1,France,,not specified
3553,5255,6389046,1,Australia,Male,25-30
3554,5256,9655754,1,England,,not specified
3555,5257,5231313,7,France,Couple,25-30
3556,5258,9474061,1,India,Male,41+
3557,5259,6620992,1,China,,not specified
3558,5260,5403491,1,Thailand,,not specified
3559,5261,6733070,5,India,Male,31-40
3560,5262,5600593,1,Australia,Male,31-40
3561,5263,9703454,1,China,,not specified
3562,5264,8699235,1,Poland,,not specified
3563,5265,6534786,1,England,,not specified
3564,5266,7167380,1,Sweden,Female,25-30
3565,5267,7216490,8,England,Male,25-30
3566,5268,5071951,1,USA,,not specified
3567,5273,7191385,3,Mexico,,not specified
3568,5276,6504438,1,USA,,not specified
3569,5277,7182978,5,France,All Female Group,41+
3570,5278,9672910,3,Israel,Female,31-40
3571,5279,7987457,1,Belgium,Male,41+
3572,5282,8526157,1,USA,Male,25-30
3573,5283,9799239,1,Australia,Male,18-24
3574,5285,5605335,1,Ireland,,not specified
3575,5287,9303065,1,USA,,not specified
3576,5289,6267492,1,Malaysia,Male,18-24
3577,5291,8023285,1,Germany,,not specified
3578,5292,5999659,4,Spain,Male,25-30
3579,5293,5016703,1,USA,,not specified
3580,5294,8839841,26,Russia,Female,31-40
3581,5297,7596068,6,USA,Male,25-30
3582,5298,6863109,6,Brazil,,not specified
3583,5299,6081502,2,USA,Female,18-24
3584,5302,8338687,4,Italy,All Female Group,18-24
3585,5303,8802350,1,Ireland,Mixed Group,18-24
3586,5304,5985609,3,New Zealand,Male,25-30
3587,5306,9876867,2,France,,not specified
3588,5310,6840098,11,Australia,Female,25-30
3589,5311,5710516,1,USA,,not specified
3590,5312,7722723,2,Hong Kong,Couple,25-30
3591,5314,9765563,1,Germany,,not specified
3592,5315,7436357,6,USA,,not specified
3593,5316,9575562,1,England,,not specified
3594,5317,6029687,1,Australia,,not specified
3595,5318,7303056,1,Sweden,,not specified
3596,5320,9369199,11,Latvia,Female,25-30
3597,5321,6891848,1,Spain,,not specified
3598,5323,9668523,1,England,Male,18-24
3599,5324,6598060,4,China,Female,25-30
3600,5325,8768155,1,Poland,Male,25-30
3601,5326,9440353,1,Netherlands,Female,25-30
3602,5327,5473258,1,Brazil,,not specified
3603,5328,5230117,1,England,,not specified
3604,5330,7943803,1,Australia,,not specified
3605,5331,5822021,3,Czech Republic,Male,41+
3606,5332,5853925,1,Switzerland,,not specified
3607,5334,7179977,6,Netherlands,Female,18-24
3608,5336,7208965,1,England,,not specified
